ëÊÇPÅ|ÇTÅ|ÇTê}Å@ì˙ïƒâ¢ÇÃê≠çÙã‡óòÇ∆ÉoÉâÉìÉXÉVÅ[ÉgÇÃêÑà⁄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÅiÇPÅjê≠çÙã‡óòÇÃêÑà⁄,,,,,ÅiÇQÅjÉoÉâÉìÉXÉVÅ[ÉgãKñÕ/ñºñ⁄ÇfÇcÇo,,,,,,,ÅiÇRÅjÉCÅ[ÉãÉhÉJÅ[ÉuÇÃêÑà⁄Åiì˙ñ{Åj,,,,,,,,,,,,,,,,
,,,ÅiÅìÅj,,,,,,ÅiÅìÅj,,,,,,,,,,,,,,,,,,,ÅiÅìÅj
îN,ÉAÉÅÉäÉJ,ÉÜÅ[Éç,ì˙ñ{,,îN,ä˙,ì˙ñ{,ÉAÉÅÉäÉJ,ÉÜÅ[Éç,,,îNåéì˙,3M,6M,1,2,3,4,5,6,7,8,9,10,15,20,30,40
2008,4.25,4,0.48,,2008,áT,21.4,6.3,10.5,,,2018/6/1,-0.12,-0.12,-0.14,-0.13,-0.12,-0.1,-0.1,-0.06,-0.04,-0.02,0.02,0.05,0.25,0.52,0.72,0.87
,4.25,4,0.52,,,,19.3,6.3,11.1,,,2018/7/24,-0.1,-0.13,-0.12,-0.12,-0.1,-0.1,-0.09,-0.05,-0.03,0,0.04,0.09,0.31,0.6,0.81,0.96
,4.25,4,0.49,,,áV,21.8,8.4,11.6,,,2018/10/9,-0.3,-0.15,-0.13,-0.11,-0.09,-0.07,-0.06,-0.01,0.04,0.07,0.12,0.16,0.41,0.69,0.95,1.11
,3.5,4,0.51,,,,24,15.6,16,,,2019/6/3,-0.1,-0.16,-0.16,-0.18,-0.19,-0.2,-0.2,-0.2,-0.2,-0.18,-0.14,-0.09,0.11,0.3,0.46,0.51
,3,4,0.5,,9,áT,25.5,14.7,14.8,,,,,,,,,,,,,,,,,,,
,3,4,0.5,,,,22.3,14.4,16.3,,,,,,,,,,,,,,,,,,,
,3,4,0.51,,,áV,23.8,15.1,14.5,,,,,,,,,,,,,,,,,,,
,3,4,0.5,,,,24.9,15.6,14.9,,,ÅiÇSÅjÉCÅ[ÉãÉhÉJÅ[ÉuÇÃêÑà⁄ÅiïƒçëÅj,,,,,,,,ÅiÅìÅj,,,,,,,,
,3,4,0.51,,10,áT,24.6,16,15.1,,,îNåéì˙,3M,6M,1,2,3,5,10,30,,,,,,,,
,3,4,0.5,,,,22.7,15.9,16.8,,,2018/6/1,1.9,2.09,2.26,2.47,2.6,2.75,2.9,3.05,,,,,,,,
,3,4,0.48,,,áV,23.8,15.5,15.2,,,2018/12/20,2.38,2.53,2.63,2.67,2.65,2.67,2.81,3.05,,,,,,,,
,2.25,4,0.52,,,,25.7,16.2,15.4,,,2019/3/22,2.44,2.46,2.44,2.32,2.24,2.24,2.44,2.87,,,,,,,,
,2.25,4,0.5,,11,áT,28.9,17.5,14.6,,,2019/6/3,2.32,2.29,2.11,1.83,1.79,1.84,2.07,2.53,,,,,,,,
,2.25,4,0.5,,,,26.7,18.8,15,,,,,,,,,,,,,,,,,,,
,2.25,4,0.5,,,áV,27.8,18.5,17.3,,,,,,,,,,,,,,,,,,,
,2.25,4,0.5,,,,28.9,18.8,20.7,,,ÅiÇTÅjÉCÅ[ÉãÉhÉJÅ[ÉuÇÃêÑà⁄ÅiÉhÉCÉcÅj,,,,,,,,ÅiÅìÅj,,,,,,,,
,2.25,4,0.5,,12,áT,27.8,18.3,22.2,,,îNåéì˙,1,2,3,5,7,10,20,30,,,,,,,,
,2,4,0.48,,,,29,18,23.1,,,2018/6/1,-0.64,-0.63,-0.55,-0.22,0.02,0.39,0.8,1.08,,,,,,,,
,2,4,0.5,,,áV,30.5,17.5,22.7,,,2019/3/22,-0.56,-0.57,-0.55,-0.4,-0.29,-0.02,0.4,0.6,,,,,,,,
,2,4,0.51,,,,32.1,18.1,22.3,,,2019/6/3,-0.6,-0.65,-0.67,-0.57,-0.47,-0.2,0.21,0.42,,,,,,,,
,2,4,0.5,,13,áT,33.1,19.7,19.7,,,,,,,,,,,,,,,,,,,
,2,4,0.53,,,,37.3,21.3,18,,,,,,,,,,,,,,,,,,,
,2,4,0.5,,,áV,41.2,22.5,17.2,,,,,,,,,,,,,,,,,,,
,2,4,0.45,,,,44.3,24,16.7,,,,,,,,,,,,,,,,,,,
,2,4,0.51,,14,áT,47.2,25.1,15.5,,,,,,,,,,,,,,,,,,,
,2,4,0.51,,,,50.2,25.5,14.9,,,,,,,,,,,,,,,,,,,
,2,4.25,0.5,,,áV,54,25.6,14.4,,,,,,,,,,,,,,,,,,,
,2,4.25,0.51,,,,58,25.6,15.1,,,,,,,,,,,,,,,,,,,
,2,4.25,0.5,,15,áT,61.2,25.2,15.4,,,,,,,,,,,,,,,,,,,
,2,4.25,0.51,,,,65,24.9,17.2,,,,,,,,,,,,,,,,,,,
,2,4.25,0.5,,,áV,68.7,24.7,17.6,,,,,,,,,,,,,,,,,,,
,2,4.25,0.5,,,,72.1,24.7,18.4,,,,,,,,,,,,,,,,,,,
,2,4.25,0.5,,16,áT,75.7,24.6,19.4,,,,,,,,,,,,,,,,,,,
,2,4.25,0.5,,,,80.9,24.2,20.9,,,,,,,,,,,,,,,,,,,
,2,4.25,0.52,,,áV,85.3,23.9,23.1,,,,,,,,,,,,,,,,,,,
,2,4.25,0.51,,,,88.8,23.7,24.4,,,,,,,,,,,,,,,,,,,
,2,4.25,0.47,,17,áT,90.9,23.6,27,,,,,,,,,,,,,,,,,,,
,2,4.25,0.43,,,,92.5,23.3,27.4,,,,,,,,,,,,,,,,,,,
,2,4.25,0.49,,,áV,93.6,23,28,,,,,,,,,,,,,,,,,,,
,2,4.25,0.47,,,,94.8,22.7,28.7,,,,,,,,,,,,,,,,,,,
,1.5,3.75,0.59,,18,áT,96.3,22.2,28.8,,,,,,,,,,,,,,,,,,,
,1.5,3.75,0.5,,,,97.5,21.3,29,,,,,,,,,,,,,,,,,,,
,1.5,3.75,0.51,,,áV,99.8,20.5,29,,,,,,,,,,,,,,,,,,,
,1,3.75,0.38,,,,100.4,19.8,29.1,,,,,,,,,,,,,,,,,,,
,1,3.25,0.3,,19,áT,100.5,19,28.9,,,,,,,,,,,,,,,,,,,
,1,3.25,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3.25,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
,1,3.25,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2.5,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2.5,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.25,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2.5,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,2,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1.25,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.75,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
,0.25,0.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
