国債金利情報 (令和7年6月),,,,,,,,,,,,,,,(単位 : %)
R6.9.19,0.227,0.389,0.392,0.43,0.498,0.515,0.575,0.658,0.765,0.889,1.391,1.722,1.936,2.082,2.327
R6.9.20,0.228,0.395,0.399,0.44,0.515,0.529,0.591,0.673,0.78,0.898,1.395,1.732,1.955,2.103,2.362
R6.9.24,0.2,0.35,0.356,0.396,0.469,0.477,0.533,0.617,0.724,0.848,1.351,1.695,1.937,2.083,2.341
R6.9.25,0.201,0.355,0.36,0.401,0.473,0.486,0.544,0.625,0.729,0.852,1.34,1.677,1.92,2.061,2.318
R6.9.26,0.192,0.349,0.346,0.399,0.474,0.491,0.554,0.64,0.745,0.872,1.369,1.709,1.947,2.101,2.363
R6.9.27,0.172,0.323,0.323,0.373,0.449,0.462,0.524,0.612,0.721,0.849,1.357,1.708,1.96,2.122,2.381
R6.9.30,0.234,0.394,0.385,0.437,0.508,0.517,0.578,0.661,0.766,0.894,1.375,1.709,1.947,2.092,2.35
R6.10.1,0.225,0.39,0.382,0.435,0.508,0.517,0.573,0.657,0.766,0.894,1.371,1.71,1.944,2.094,2.35
R6.10.2,0.206,0.365,0.365,0.417,0.489,0.491,0.545,0.628,0.732,0.859,1.346,1.687,1.931,2.087,2.346
R6.10.3,0.207,0.365,0.366,0.417,0.489,0.497,0.555,0.638,0.742,0.867,1.35,1.692,1.942,2.1,2.357
R6.10.4,0.208,0.37,0.373,0.428,0.506,0.521,0.58,0.663,0.761,0.886,1.363,1.701,1.942,2.1,2.353
R6.10.7,0.231,0.407,0.412,0.477,0.555,0.565,0.624,0.705,0.805,0.926,1.408,1.743,1.972,2.131,2.385
R6.10.8,0.232,0.402,0.413,0.48,0.554,0.563,0.623,0.706,0.805,0.926,1.41,1.746,1.976,2.126,2.388
R6.10.9,0.233,0.402,0.413,0.484,0.56,0.574,0.633,0.717,0.816,0.936,1.427,1.762,1.996,2.143,2.412
R6.10.10,0.237,0.412,0.418,0.494,0.588,0.596,0.659,0.741,0.84,0.96,1.452,1.788,2.026,2.171,2.451
R6.10.11,0.248,0.412,0.417,0.493,0.579,0.59,0.649,0.728,0.831,0.95,1.436,1.775,2.013,2.154,2.44
R6.10.15,0.263,0.423,0.429,0.506,0.595,0.605,0.672,0.751,0.856,0.976,1.453,1.789,2.02,2.155,2.441
R6.10.16,0.264,0.423,0.428,0.497,0.581,0.59,0.65,0.732,0.832,0.957,1.44,1.775,2.012,2.147,2.428
R6.10.17,0.275,0.434,0.437,0.51,0.59,0.608,0.664,0.746,0.846,0.967,1.441,1.776,2.002,2.13,2.399
R6.10.18,0.282,0.438,0.445,0.515,0.589,0.615,0.674,0.752,0.852,0.972,1.454,1.79,2.01,2.139,2.405
R6.10.21,0.286,0.433,0.439,0.509,0.581,0.6,0.66,0.739,0.838,0.963,1.45,1.79,2.017,2.156,2.424
R6.10.22,0.307,0.454,0.454,0.527,0.6,0.622,0.686,0.766,0.863,0.983,1.467,1.814,2.047,2.188,2.468
R6.10.23,0.309,0.449,0.455,0.524,0.596,0.617,0.681,0.765,0.863,0.983,1.471,1.818,2.053,2.188,2.468
R6.10.24,0.31,0.449,0.455,0.519,0.584,0.598,0.661,0.742,0.841,0.964,1.455,1.802,2.048,2.184,2.46
R6.10.25,0.311,0.449,0.453,0.515,0.58,0.593,0.651,0.731,0.832,0.955,1.447,1.789,2.028,2.159,2.428
R6.10.28,0.315,0.461,0.462,0.525,0.595,0.608,0.671,0.75,0.856,0.981,1.469,1.816,2.054,2.196,2.469
R6.10.29,0.306,0.453,0.459,0.522,0.599,0.608,0.671,0.751,0.858,0.981,1.473,1.812,2.051,2.188,2.473
R6.10.30,0.298,0.443,0.448,0.513,0.585,0.596,0.658,0.735,0.838,0.961,1.462,1.807,2.054,2.201,2.492
R6.10.31,0.289,0.434,0.438,0.499,0.571,0.586,0.643,0.722,0.824,0.947,1.437,1.786,2.03,2.189,2.492
R6.11.1,0.321,0.465,0.469,0.525,0.585,0.597,0.651,0.731,0.83,0.952,1.442,1.786,2.03,2.189,2.496
R6.11.5,0.315,0.455,0.459,0.517,0.575,0.588,0.641,0.719,0.821,0.944,1.435,1.787,2.03,2.193,2.499
R6.11.6,0.337,0.48,0.493,0.552,0.615,0.631,0.686,0.764,0.866,0.993,1.473,1.817,2.05,2.206,2.502
R6.11.7,0.359,0.501,0.517,0.582,0.644,0.66,0.714,0.791,0.894,1.016,1.494,1.839,2.074,2.226,2.523
R6.11.8,0.36,0.501,0.515,0.582,0.644,0.655,0.71,0.786,0.89,1.011,1.49,1.835,2.071,2.218,2.502
R6.11.11,0.364,0.501,0.512,0.577,0.644,0.646,0.702,0.782,0.886,1.009,1.487,1.84,2.074,2.222,2.503
R6.11.12,0.375,0.501,0.517,0.589,0.653,0.656,0.713,0.792,0.895,1.019,1.501,1.849,2.085,2.234,2.516
R6.11.13,0.397,0.527,0.543,0.62,0.689,0.697,0.756,0.835,0.937,1.053,1.53,1.871,2.101,2.246,2.541
R6.11.14,0.408,0.532,0.553,0.625,0.695,0.705,0.766,0.849,0.949,1.069,1.547,1.888,2.114,2.267,2.579
R6.11.15,0.424,0.552,0.567,0.64,0.712,0.724,0.785,0.866,0.961,1.082,1.551,1.884,2.101,2.264,2.579
R6.11.18,0.425,0.553,0.568,0.642,0.706,0.724,0.785,0.867,0.962,1.083,1.557,1.892,2.112,2.267,2.584
R6.11.19,0.436,0.554,0.572,0.646,0.71,0.719,0.781,0.862,0.957,1.078,1.544,1.889,2.105,2.254,2.572
R6.11.20,0.438,0.554,0.573,0.646,0.715,0.724,0.783,0.865,0.961,1.077,1.544,1.885,2.105,2.255,2.563
R6.11.21,0.46,0.58,0.603,0.68,0.75,0.758,0.812,0.894,0.991,1.106,1.561,1.899,2.112,2.25,2.553
R6.11.22,0.468,0.59,0.611,0.681,0.745,0.744,0.801,0.881,0.977,1.092,1.55,1.89,2.109,2.255,2.547
R6.11.25,0.474,0.59,0.609,0.677,0.74,0.736,0.787,0.872,0.968,1.084,1.544,1.881,2.109,2.255,2.548
R6.11.26,0.468,0.592,0.61,0.672,0.733,0.731,0.781,0.863,0.959,1.074,1.529,1.869,2.103,2.251,2.543
R6.11.27,0.478,0.596,0.615,0.677,0.741,0.741,0.793,0.873,0.969,1.083,1.545,1.891,2.113,2.272,2.579
R6.11.28,0.471,0.581,0.601,0.662,0.727,0.723,0.773,0.855,0.95,1.065,1.533,1.873,2.098,2.26,2.587
R6.11.29,0.482,0.599,0.608,0.664,0.728,0.722,0.769,0.85,0.946,1.064,1.517,1.855,2.079,2.252,2.568
R6.12.2,0.498,0.62,0.632,0.69,0.751,0.75,0.794,0.874,0.97,1.091,1.545,1.874,2.089,2.256,2.569
R6.12.3,0.49,0.61,0.626,0.685,0.747,0.745,0.79,0.874,0.97,1.091,1.542,1.874,2.09,2.26,2.573
R6.12.4,0.461,0.585,0.6,0.658,0.716,0.721,0.764,0.85,0.947,1.068,1.526,1.861,2.08,2.249,2.573
R6.12.5,0.454,0.6,0.613,0.671,0.736,0.737,0.78,0.865,0.961,1.082,1.539,1.875,2.09,2.257,2.59
R6.12.6,0.446,0.59,0.606,0.666,0.725,0.723,0.769,0.852,0.948,1.068,1.526,1.861,2.075,2.236,2.57
R6.12.9,0.431,0.575,0.594,0.655,0.714,0.708,0.756,0.838,0.935,1.054,1.511,1.849,2.065,2.228,2.565
R6.12.10,0.435,0.585,0.609,0.665,0.728,0.722,0.772,0.857,0.957,1.078,1.528,1.866,2.069,2.232,2.563
R6.12.11,0.445,0.591,0.612,0.671,0.736,0.732,0.781,0.867,0.963,1.083,1.524,1.866,2.066,2.231,2.55
R6.12.12,0.429,0.579,0.599,0.656,0.717,0.718,0.773,0.852,0.944,1.065,1.509,1.853,2.049,2.217,2.53
R6.12.13,0.412,0.564,0.573,0.638,0.697,0.708,0.761,0.842,0.935,1.055,1.504,1.848,2.048,2.22,2.551
R6.12.16,0.418,0.585,0.591,0.657,0.722,0.732,0.787,0.867,0.963,1.084,1.534,1.884,2.073,2.253,2.579
R6.12.17,0.42,0.595,0.598,0.668,0.736,0.746,0.801,0.882,0.974,1.094,1.543,1.889,2.089,2.264,2.592
R6.12.18,0.422,0.589,0.589,0.658,0.721,0.732,0.786,0.864,0.961,1.079,1.532,1.876,2.077,2.24,2.568
R6.12.19,0.424,0.606,0.609,0.679,0.747,0.755,0.811,0.886,0.98,1.097,1.543,1.881,2.07,2.245,2.572
R6.12.20,0.39,0.576,0.573,0.643,0.706,0.719,0.773,0.855,0.949,1.07,1.526,1.855,2.054,2.229,2.559
R6.12.23,0.395,0.588,0.584,0.655,0.725,0.732,0.788,0.869,0.963,1.081,1.539,1.871,2.074,2.236,2.564
R6.12.24,0.397,0.588,0.584,0.655,0.733,0.738,0.798,0.879,0.971,1.086,1.535,1.863,2.061,2.228,2.545
R6.12.25,0.399,0.588,0.585,0.656,0.726,0.738,0.797,0.879,0.972,1.086,1.531,1.859,2.057,2.219,2.536
R6.12.26,0.409,0.602,0.599,0.674,0.746,0.762,0.828,0.909,0.996,1.103,1.544,1.873,2.064,2.231,2.536
R6.12.27,0.413,0.602,0.606,0.685,0.76,0.773,0.837,0.918,1.008,1.119,1.565,1.898,2.091,2.259,2.56
R6.12.30,0.427,0.599,0.604,0.681,0.743,0.764,0.833,0.914,1.002,1.111,1.553,1.89,2.081,2.252,2.556
R7.1.6,0.449,0.626,0.638,0.718,0.791,0.806,0.867,0.948,1.038,1.145,1.584,1.915,2.093,2.274,2.583
R7.1.7,0.459,0.632,0.646,0.726,0.794,0.811,0.868,0.953,1.043,1.148,1.589,1.916,2.094,2.278,2.6
R7.1.8,0.46,0.648,0.667,0.75,0.821,0.846,0.906,0.988,1.076,1.182,1.618,1.951,2.126,2.294,2.619
R7.1.9,0.452,0.643,0.66,0.748,0.816,0.837,0.902,0.984,1.071,1.178,1.614,1.933,2.122,2.285,2.619
R7.1.10,0.443,0.649,0.675,0.762,0.832,0.857,0.926,1.008,1.094,1.202,1.642,1.959,2.136,2.301,2.639
R7.1.14,0.479,0.687,0.711,0.797,0.874,0.897,0.97,1.052,1.138,1.246,1.681,1.993,2.166,2.33,2.669
R7.1.15,0.504,0.707,0.733,0.816,0.894,0.909,0.975,1.06,1.148,1.255,1.693,2.002,2.174,2.347,2.691
R7.1.16,0.511,0.698,0.713,0.798,0.869,0.878,0.934,1.016,1.102,1.207,1.648,1.941,2.135,2.318,2.679
R7.1.17,0.512,0.693,0.706,0.793,0.865,0.878,0.936,1.019,1.104,1.207,1.631,1.925,2.106,2.29,2.649
R7.1.20,0.506,0.683,0.698,0.784,0.855,0.874,0.93,1.01,1.095,1.199,1.62,1.912,2.096,2.273,2.631
R7.1.21,0.513,0.677,0.694,0.78,0.851,0.869,0.926,1.006,1.092,1.194,1.616,1.913,2.094,2.265,2.609
R7.1.22,0.535,0.698,0.72,0.804,0.874,0.889,0.941,1.019,1.102,1.205,1.616,1.904,2.094,2.261,2.595
R7.1.23,0.537,0.704,0.724,0.81,0.88,0.894,0.95,1.028,1.112,1.215,1.623,1.913,2.107,2.269,2.591
R7.1.24,0.556,0.718,0.751,0.839,0.91,0.927,0.975,1.056,1.139,1.238,1.633,1.921,2.119,2.277,2.591
R7.1.27,0.543,0.705,0.735,0.823,0.888,0.905,0.956,1.039,1.126,1.225,1.621,1.918,2.116,2.269,2.579
R7.1.28,0.535,0.695,0.724,0.807,0.865,0.876,0.928,1.01,1.098,1.201,1.601,1.905,2.1,2.251,2.557
R7.1.29,0.546,0.704,0.735,0.815,0.868,0.881,0.933,1.012,1.102,1.201,1.601,1.896,2.091,2.245,2.547
R7.1.30,0.548,0.718,0.746,0.824,0.883,0.895,0.948,1.027,1.118,1.221,1.622,1.918,2.117,2.274,2.578
R7.1.31,0.56,0.729,0.754,0.846,0.909,0.922,0.976,1.055,1.151,1.25,1.658,1.953,2.137,2.29,2.592
R7.2.3,0.556,0.72,0.745,0.837,0.899,0.915,0.974,1.052,1.149,1.254,1.671,1.967,2.154,2.302,2.602
R7.2.4,0.568,0.741,0.764,0.86,0.93,0.945,1.004,1.082,1.178,1.282,1.696,1.993,2.179,2.323,2.608
R7.2.5,0.57,0.756,0.778,0.876,0.945,0.961,1.014,1.092,1.188,1.289,1.701,1.998,2.183,2.323,2.608
R7.2.6,0.572,0.762,0.784,0.875,0.94,0.957,1.002,1.082,1.168,1.27,1.672,1.959,2.136,2.269,2.544
R7.2.7,0.594,0.798,0.828,0.926,0.987,0.996,1.046,1.125,1.211,1.307,1.703,1.98,2.151,2.29,2.569
R7.2.10,0.593,0.798,0.829,0.927,0.988,1,1.053,1.133,1.221,1.318,1.715,1.985,2.151,2.294,2.573
R7.2.12,0.597,0.799,0.831,0.933,1.005,1.02,1.077,1.157,1.246,1.346,1.736,2.002,2.155,2.302,2.577
R7.2.13,0.59,0.794,0.829,0.934,1.006,1.03,1.086,1.171,1.26,1.357,1.752,2.019,2.178,2.318,2.59
R7.2.14,0.586,0.794,0.834,0.935,1.013,1.03,1.087,1.173,1.26,1.357,1.749,2.011,2.178,2.31,2.573
R7.2.17,0.589,0.809,0.865,0.973,1.057,1.068,1.12,1.21,1.295,1.39,1.761,2.011,2.179,2.306,2.569
R7.2.18,0.596,0.827,0.883,1.001,1.093,1.111,1.165,1.253,1.337,1.432,1.797,2.063,2.224,2.335,2.587
R7.2.19,0.594,0.82,0.883,0.997,1.083,1.107,1.163,1.253,1.338,1.432,1.805,2.063,2.218,2.327,2.568
R7.2.20,0.608,0.821,0.889,1.003,1.087,1.112,1.168,1.258,1.347,1.441,1.798,2.05,2.205,2.322,2.551
R7.2.21,0.603,0.818,0.881,0.982,1.063,1.088,1.139,1.238,1.329,1.427,1.797,2.054,2.219,2.335,2.556
R7.2.25,0.593,0.803,0.864,0.96,1.038,1.056,1.099,1.198,1.288,1.387,1.779,2.037,2.204,2.319,2.54
R7.2.26,0.604,0.801,0.859,0.95,1.022,1.045,1.092,1.189,1.28,1.373,1.763,2.028,2.2,2.319,2.553
R7.2.27,0.608,0.826,0.878,0.973,1.043,1.063,1.112,1.208,1.303,1.398,1.784,2.042,2.207,2.338,2.588
R7.2.28,0.601,0.806,0.854,0.946,1.007,1.036,1.084,1.18,1.28,1.378,1.764,2.032,2.198,2.35,2.622
R7.3.3,0.617,0.825,0.883,0.978,1.05,1.074,1.123,1.219,1.313,1.412,1.793,2.051,2.21,2.353,2.619
R7.3.4,0.619,0.831,0.89,0.991,1.069,1.088,1.136,1.233,1.327,1.428,1.812,2.065,2.223,2.36,2.619
R7.3.5,0.62,0.831,0.895,1.004,1.076,1.098,1.151,1.248,1.347,1.448,1.843,2.099,2.264,2.389,2.655
R7.3.6,0.623,0.852,0.925,1.049,1.132,1.168,1.222,1.318,1.416,1.517,1.916,2.18,2.332,2.462,2.707
R7.3.7,0.623,0.848,0.929,1.053,1.127,1.158,1.213,1.313,1.421,1.523,1.938,2.217,2.381,2.496,2.718
R7.3.10,0.639,0.875,0.96,1.088,1.174,1.203,1.256,1.359,1.471,1.575,1.998,2.279,2.447,2.544,2.753
R7.3.11,0.611,0.834,0.917,1.04,1.115,1.144,1.195,1.295,1.407,1.511,1.959,2.241,2.422,2.53,2.746
R7.3.12,0.623,0.85,0.931,1.056,1.14,1.175,1.23,1.319,1.423,1.527,1.957,2.228,2.407,2.535,2.756
R7.3.13,0.625,0.861,0.945,1.07,1.16,1.194,1.251,1.342,1.445,1.549,1.977,2.245,2.419,2.547,2.779
R7.3.14,0.607,0.84,0.923,1.047,1.131,1.162,1.214,1.309,1.419,1.522,1.961,2.236,2.417,2.535,2.785
R7.3.17,0.597,0.811,0.898,1.023,1.107,1.146,1.201,1.297,1.41,1.513,1.969,2.249,2.438,2.55,2.804
R7.3.18,0.604,0.815,0.899,1.024,1.106,1.142,1.192,1.295,1.406,1.507,1.954,2.233,2.42,2.542,2.809
R7.3.19,0.616,0.842,0.914,1.035,1.124,1.16,1.216,1.311,1.42,1.52,1.962,2.24,2.414,2.543,2.804
R7.3.21,0.62,0.854,0.922,1.043,1.134,1.17,1.228,1.32,1.424,1.527,1.967,2.238,2.411,2.539,2.795
R7.3.24,0.636,0.871,0.935,1.056,1.149,1.185,1.244,1.335,1.439,1.549,1.978,2.246,2.417,2.543,2.798
R7.3.25,0.648,0.887,0.957,1.085,1.186,1.218,1.282,1.372,1.471,1.578,2.01,2.268,2.426,2.541,2.792
R7.3.26,0.65,0.892,0.955,1.088,1.197,1.233,1.294,1.384,1.482,1.583,2.002,2.26,2.433,2.543,2.793
R7.3.27,0.652,0.893,0.96,1.092,1.194,1.232,1.296,1.387,1.486,1.588,2.006,2.26,2.424,2.53,2.742
R7.3.28,0.644,0.877,0.94,1.069,1.167,1.203,1.26,1.351,1.449,1.551,1.971,2.225,2.384,2.486,2.677
R7.3.31,0.64,0.854,0.887,1.019,1.113,1.143,1.198,1.287,1.391,1.497,1.932,2.202,2.368,2.48,2.69
R7.4.1,0.652,0.855,0.901,1.027,1.122,1.15,1.21,1.305,1.405,1.511,1.945,2.21,2.382,2.498,2.716
R7.4.2,0.644,0.834,0.885,0.999,1.092,1.125,1.181,1.278,1.377,1.481,1.909,2.17,2.342,2.444,2.651
R7.4.3,0.585,0.754,0.803,0.9,0.987,1.016,1.063,1.159,1.261,1.366,1.802,2.092,2.285,2.38,2.603
R7.4.4,0.514,0.612,0.65,0.731,0.797,0.827,0.87,0.964,1.068,1.176,1.613,1.946,2.191,2.303,2.524
R7.4.7,0.488,0.586,0.621,0.699,0.761,0.787,0.816,0.911,1.017,1.129,1.59,1.93,2.167,2.282,2.536
R7.4.8,0.51,0.647,0.692,0.796,0.869,0.899,0.936,1.041,1.154,1.268,1.752,2.11,2.361,2.479,2.728
R7.4.9,0.473,0.611,0.661,0.763,0.853,0.878,0.913,1.028,1.16,1.284,1.866,2.261,2.551,2.643,2.874
R7.4.10,0.517,0.676,0.728,0.831,0.931,0.958,1.009,1.122,1.255,1.379,1.937,2.279,2.515,2.611,2.843
R7.4.11,0.483,0.611,0.656,0.75,0.844,0.875,0.93,1.057,1.213,1.357,1.99,2.325,2.543,2.661,2.909
R7.4.14,0.466,0.589,0.634,0.729,0.817,0.855,0.924,1.04,1.202,1.35,2.026,2.389,2.616,2.756,3.001
R7.4.15,0.507,0.646,0.697,0.795,0.885,0.919,0.989,1.092,1.24,1.377,2.011,2.339,2.582,2.733,3.002
R7.4.16,0.498,0.615,0.666,0.757,0.842,0.876,0.932,1.029,1.165,1.305,1.936,2.266,2.517,2.646,2.928
R7.4.17,0.525,0.65,0.697,0.785,0.867,0.895,0.954,1.053,1.184,1.32,1.939,2.257,2.484,2.607,2.87
R7.4.18,0.52,0.636,0.682,0.765,0.844,0.875,0.934,1.035,1.166,1.302,1.931,2.27,2.513,2.65,2.914
R7.4.21,0.53,0.649,0.688,0.771,0.848,0.882,0.942,1.046,1.172,1.302,1.947,2.297,2.537,2.677,2.948
R7.4.22,0.541,0.67,0.716,0.8,0.878,0.91,0.969,1.07,1.192,1.323,1.929,2.267,2.513,2.673,2.938
R7.4.23,0.55,0.684,0.74,0.824,0.906,0.933,0.993,1.092,1.212,1.34,1.91,2.232,2.456,2.626,2.888
R7.4.24,0.542,0.679,0.723,0.806,0.884,0.916,0.975,1.074,1.199,1.328,1.878,2.226,2.443,2.634,2.906
R7.4.25,0.545,0.689,0.734,0.82,0.903,0.934,0.998,1.097,1.219,1.347,1.906,2.248,2.473,2.639,2.937
R7.4.28,0.548,0.686,0.729,0.817,0.898,0.92,0.98,1.078,1.201,1.329,1.891,2.236,2.466,2.639,2.938
R7.4.30,0.551,0.676,0.72,0.808,0.888,0.92,0.98,1.079,1.202,1.33,1.891,2.228,2.473,2.645,2.936
R7.5.1,0.521,0.629,0.675,0.764,0.844,0.872,0.931,1.034,1.164,1.291,1.868,2.224,2.475,2.653,2.943
R7.5.2,0.512,0.609,0.659,0.749,0.83,0.866,0.928,1.029,1.155,1.283,1.869,2.243,2.52,2.693,2.984
R7.5.7,0.518,0.609,0.669,0.763,0.85,0.889,0.964,1.063,1.19,1.318,1.913,2.312,2.601,2.791,3.083
R7.5.8,0.529,0.619,0.683,0.781,0.871,0.908,0.984,1.088,1.214,1.343,1.941,2.322,2.605,2.779,3.081
R7.5.9,0.532,0.634,0.698,0.797,0.891,0.935,1.011,1.121,1.248,1.37,1.992,2.356,2.635,2.802,3.127
R7.5.12,0.547,0.66,0.727,0.831,0.922,0.972,1.047,1.156,1.281,1.405,2.02,2.394,2.67,2.836,3.156
R7.5.13,0.568,0.718,0.79,0.899,0.989,1.038,1.113,1.219,1.34,1.46,2.01,2.356,2.628,2.779,3.097
R7.5.14,0.563,0.706,0.78,0.886,0.977,1.036,1.109,1.212,1.338,1.466,2.026,2.376,2.628,2.811,3.126
R7.5.15,0.565,0.717,0.797,0.915,1.01,1.064,1.137,1.24,1.367,1.489,2.06,2.404,2.664,2.839,3.168
R7.5.16,0.556,0.707,0.782,0.896,0.992,1.037,1.105,1.212,1.343,1.466,2.04,2.387,2.661,2.84,3.18
R7.5.19,0.571,0.718,0.798,0.912,1.007,1.059,1.132,1.241,1.373,1.494,2.066,2.412,2.678,2.851,3.178
R7.5.20,0.583,0.728,0.807,0.922,1.018,1.071,1.143,1.259,1.397,1.53,2.138,2.539,2.796,2.969,3.288
R7.5.21,0.558,0.72,0.798,0.917,1.008,1.07,1.144,1.259,1.397,1.53,2.138,2.528,2.799,2.976,3.3
R7.5.22,0.56,0.737,0.816,0.939,1.045,1.104,1.197,1.308,1.439,1.573,2.179,2.566,2.823,2.999,3.336
R7.5.23,0.557,0.731,0.82,0.941,1.044,1.103,1.187,1.301,1.431,1.559,2.173,2.523,2.772,2.925,3.249
R7.5.26,0.554,0.728,0.808,0.927,1.023,1.075,1.151,1.264,1.395,1.522,2.136,2.498,2.758,2.9,3.24
R7.5.27,0.566,0.739,0.811,0.922,1.012,1.057,1.117,1.229,1.357,1.479,2.035,2.354,2.613,2.743,3.062
R7.5.28,0.575,0.753,0.83,0.955,1.054,1.108,1.179,1.286,1.409,1.531,2.077,2.406,2.656,2.796,3.107
R7.5.29,0.587,0.758,0.829,0.948,1.043,1.1,1.173,1.282,1.409,1.532,2.107,2.451,2.704,2.853,3.125
R7.5.30,0.599,0.75,0.81,0.929,1.029,1.081,1.158,1.266,1.391,1.518,2.076,2.419,2.671,2.846,3.108
R7.6.2,0.592,0.755,0.821,0.945,1.043,1.092,1.163,1.272,1.397,1.523,2.066,2.406,2.654,2.821,3.085
R7.6.3,0.583,0.755,0.816,0.936,1.035,1.082,1.15,1.26,1.379,1.499,2.059,2.406,2.656,2.825,3.102
R7.6.4,0.575,0.765,0.829,0.949,1.055,1.105,1.174,1.283,1.403,1.518,2.075,2.431,2.669,2.833,3.137
R7.6.5,0.567,0.755,0.813,0.922,1.02,1.069,1.134,1.247,1.366,1.481,2.027,2.371,2.621,2.787,3.081
R7.6.6,0.569,0.76,0.817,0.928,1.023,1.069,1.134,1.242,1.362,1.477,2.009,2.35,2.605,2.78,3.053
R7.6.9,0.574,0.775,0.833,0.942,1.043,1.084,1.153,1.257,1.377,1.491,2.026,2.376,2.628,2.805,3.088
R7.6.10,0.573,0.771,0.833,0.942,1.045,1.088,1.158,1.262,1.382,1.498,2.05,2.402,2.641,2.809,3.091
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
